Title,Method,Dataset,Metrics,Results,Limitations,Category,Cluster
MUA: Mobile Ultra-detailed Animatable Avatars...,Wavelet-guided Multi-level Spatial Factorized Blendshapes representation and a corresponding distillation pipeline; combines multi-level wavelet spectral decomposition with low-rank structural factorization in texture space.,Not specified,"computational cost, model size, FPS, rendering quality",Achieves up to 2000X lower computational cost and a 10X smaller model size than the original high-quality teacher avatar model; achieves over 180 FPS on a desktop PC and real-time native on-device performance at 24 FPS on a standalone Meta Quest 3.,Not specified,computer graphics,4
A multimodal and temporal foundation model for vir...,"Training and evaluation of a multimodal temporal foundation model (Apollo) on longitudinal hospital records, using feature attribution techniques for interpretability and semantic similarity search for retrieval tasks.","Over three decades of longitudinal hospital records from a major US hospital system, composed of 25 billion records from 7.2 million patients, representing 28 distinct medical modalities and 12 major medical specialties.","prognosis prediction accuracy, retrieval task performance, semantic similarity search performance","Evaluated on 322 prognosis and retrieval tasks from a held-out test set of 1.4 million patients; demonstrated forecasting for disease onset (95 tasks), progression (78 tasks), treatment response (59 tasks), adverse events (17 tasks), and hospital operations (12 tasks); evaluated on 61 retrieval tasks.",Not specified,healthcare AI,4
Latent Phase-Shift Rollback: Inference-Time Error ...,"At each generation step, monitor the residual stream at a critical layer lcrit, detect phase shifts using a cosine-similarity + entropy dual gate, and rollback the KV-cache while injecting a pre-computed steering vector; no fine-tuning, gradients, or additional forward passes required.",MATH-500,"accuracy, AUC, token cost, parameter count, McNemar χ², p-value","LPSR achieves 44.0% on MATH-500 with an 8B model versus 28.8% for standard AR (+15.2 pp; McNemar χ² = 66.96, p < 10⁻¹⁵); outperforms prompted self-correction (19.8%) by +24.2 pp (χ² = 89.4, p ≈ 0); outperforms Best-of-16 by +7.8 pp at 5.4× lower token cost; surpasses standard 70B model (35.2%) with 8.75× fewer parameters at ~3× token budget; detection AUC peaks at layer 14 (0.718), task accuracy peaks at layer 16 (44.0% vs. 29.2%).",Not specified,inference-time reliability,2
Non-linear Lie Conformal Algebras and One-Loop Cor...,Reformulation using the formalism of non-linear Lie conformal algebras,Not specified,,Not specified,Not specified,theoretical physics / mathematical physics / celestial holography,5
Advancing Vision Transformer with Enhanced Spatial...,Euclidean distance decay for spatial information modeling; spatially-independent grouping for attention computation instead of horizontal and vertical decomposition.,"Image Classification, Object Detection, Instance Segmentation, and Semantic Segmentation",top1-acc,EVT achieves 86.6% top1-acc on ImageNet-1k without additional training data.,Not specified,Computer Vision / Vision Transformers,4
Wasserstein Distributionally Robust Risk-Sensitive...,"Computing affine estimators by solving a tractable semidefinite program, applicable when the nominal distribution at the center of the Wasserstein ball is finitely supported",Wholesale electricity price forecasting task using real market data,CVaR of squared error,The proposed estimators deliver lower out-of-sample CVaR of squared error compared to existing methods,Not specified,robust statistics,5
Dissipative Preparation of Correlated Quantum Stat...,"Introducing two types of controllable dissipative auxiliary atoms that act as nonreciprocal excitation and de-excitation channels, enabling a directional walk in Hilbert space.",Neutral atoms in dipolar Rydberg arrays,Not specified,"Enables stabilization of states across the many-body spectrum, not limited to the ground state and requiring no a priori knowledge of the Hamiltonian.",Not specified,quantum state preparation,1
Fast and Forgettable: A Controlled Study of Novice...,"Controlled pair programming study with within-subjects design: 22 participants wrote Python code under time pressure in three conditions—human pair, AI-assisted (GitHub Copilot), and individual—and were retested after one week; subjective (workload, emotion) and objective (performance, retest performance) measures collected.","22 novice participants writing Python code under time pressure in teams of two and individually with GitHub Copilot for 20 minutes each, followed by a one-week retention interval and individual retest.","performance, retest performance, subjective workload, subjective emotion",Participants performed significantly better with GitHub Copilot than with their human teammate; several dimensions of workload were significantly reduced with Copilot; emotional effect of the human teammate was significantly more positive and arousing; there was a nonsignificant absolute retest performance reduction in the AI condition and a larger retest performance decrement in the AI condition.,Not specified,AI in education,3
Hamiltonian dynamics from pure dissipation...,Analysis of GKSL-form Lindbladians with zero Hamiltonian term but nontraceless jump operators; diamond norm error analysis; geometric lower bound proof for time scaling; construction-based approximation.,Not specified,"diamond norm error, evolution time",Dissipative generators approximate Hamiltonian dynamics within ε error using O(t²/ε) evolution time; this scaling is proven necessary and optimal in the worst case from a geometric perspective.,Not specified,quantum information theory,1
AtomTwin.jl: a physics-native digital twin framewo...,"Open-source Julia package providing hardware-level instruction sequences, high-performance solvers for coupled quantum and classical dynamics, and a ready-to-use model for ytterbium-171 atoms in an extensible architecture.","Preparation of a logical Bell state in the [[4,2,2]] error-detecting code with four ^171Yb atoms in moveable tweezers",performance benchmarks against existing toolboxes,Not specified,Not specified,quantum computing software infrastructure,4
HybridGen: Efficient LLM Generative Inference via ...,"Introduces attention logit parallelism, a feedback-driven scheduler, and semantic-aware KV cache mapping to address multi-dimensional attention dependencies, CPU-GPU load imbalance, and NUMA penalty of tiered memories.",Three LLM models with eleven different sizes on three GPU platforms with a CXL-expanded memory,"throughput, accuracy",HybridGen outperforms six state-of-the-art KV cache management methods by 1.41x--3.2x on average while maintaining superior accuracy.,Not specified,systems for AI / hardware-aware LLM inference,2
Fractional motions of an active particle on the qu...,"Analytical investigation involving fractional calculus-based modeling with power-law kernels, solving for joint probability density under various force configurations (vortex force, thermal noise, viscous dissipation, harmonic confinement).",Experimental observations of active particles driven by quantum vortices on the surface of superfluid helium.,,Analytical solutions for the joint probability density are obtained in two distinct time regimes.,Not specified,None,5
Low-noise Pauli-consistent ensemble Monte Carlo fo...,Ensemble Monte Carlo with sampled-partner approximation for electron-electron scattering; discretized momentum-space grid; comparison against full-sum reference simulation,Graphene with explicit intraband electron-electron scattering,"computational cost, agreement with full-sum reference, noise level in ensemble-averaged time traces, resolvability of oscillatory components","Close agreement with the full-sum reference and substantial reduction in computational cost, enabling large-ensemble low-noise simulations where systematic oscillatory components become clearly resolved.",Oscillations in ensemble-averaged time traces are numerical artifacts arising from deterministic drift on the discretized momentum-space grid.,Computational nanoelectronics,4
"Bosonization, vertex operators and maximal violati...",Analysis of vertex operators in chiral bosonic conformal field theory within 1+1 dimensional quantum field theory,Wedge regions in 1+1 dimensional spacetime; vacuum state of a chiral boson,"Bell-CHSH inequality violation, Tsirelson bound saturation",Vertex operators saturate the Tsirelson bound of the Bell-CHSH inequality in the vacuum state.,Not specified,quantum field theory foundations / quantum information in relativistic settings,3
An adaptive discretization algorithm for locally o...,Iterative adaptive discretization; solving discretized constrained-design subproblems and refining the discretization using approximate violators of an ε-optimality condition,Experimental design problems from chemical engineering featuring time and yield constraints,,The algorithm converges to an optimal design when ε = 0 and finitely terminates at an ε-optimal design when ε > 0; it requires less computational effort due to smaller-dimensional nonlinear subproblems solved only approximately and only in selected iterations; it covers a larger class of constraints than existing algorithms; demonstrates good convergence properties.,Not specified,Optimal experimental design,5
Learning the Riccati solution operator for time-va...,"DeepONet architectures tailored for matrix-valued, time-dependent problems, combined with a progressive learning strategy for scalability with respect to system dimension.",Time-invariant and time-varying LQR problems,"accuracy, generalization across system configurations, computational speedup","The proposed approach achieves high accuracy and strong generalization across a wide range of system configurations, while delivering substantial computational speedups compared to classical solvers.",Not specified,"optimal control, operator learning, data-driven control",1
Physics-Informed Neural Networks for Maximizing Qu...,Variational physics-informed neural network (PINN) formulation integrated with Magnus-expansion treatment of time-ordered evolution to enforce Euler-Lagrange structure and infer adiabatic gauge potential and scheduling function.,"Driven spin Hamiltonians including nearest-neighbor, dipolar, and trapped-ion-inspired interactions, for systems of up to six qubits.","normalized QFI, fidelity, extremal-balance metrics, physical residuals","The framework systematically improves over reference solutions based only on the Euler-Lagrange condition, yielding high normalized QFI, favorable fidelity and extremal-balance metrics, and small physical residuals; learning the scheduling function provides a clear performance advantage in most cases, and q=3 emerges as a particularly challenging regime.",Scalability is limited by the exponential growth of the operator space and by automatic-differentiation costs.,quantum metrology,1
Bayesian experimental design: grouped geometric po...,Grouped geometric pooled posterior framework with tailored ensemble Kalman inversion (EKI) and a conservative importance-sampling quality diagnostic to guide grouping.,Gaussian-linear and high-dimensional network-based model discrepancy calibration problems,"accuracy, stability, computational cost",The method yields more accurate and stable estimators while keeping cost comparable to amortized approaches.,Not specified,Bayesian experimental design,3
QRAFTI: An Agentic Framework for Empirical Researc...,"Multi-agent system using chained tool calls and reflection-based planning, integrated with MCP servers for data access, factor construction, and custom coding operations.",Large financial panel datasets,Not specified,Not specified,Not specified,quantitative finance,0
A primality test for $Kp^\ell - 1$ numbers...,"Algebraic framework over arbitrary quadratic fields $L = \mathbb{Q}(\sqrt{D})$, modular exponentiation, generalization of Miller-Rabin, and derivation of a Korselt-type criterion",Numbers of the form $N = c_D k p^{\ell} - 1$ in associated quadratic fields,"computational complexity, runtime (milliseconds)","Achieves computational complexity of $\tilde{\mathcal{O}}(\log^2 N)$, requires only a single modular exponentiation, and establishes primality within milliseconds",Not specified,computational number theory,3
Missingness-Adaptive Factor Identification in High...,"Missingness-Adaptive Thresholding Estimator (MATE), a thresholding-based estimator that operates without data imputation and accommodates homogeneous and heterogeneous missingness","High-dimensional data with incomplete observations, including settings with high missingness rates and weak factor signals","consistency, robustness",MATE consistently outperforms state-of-the-art methods in extensive simulations and real-world applications,Not specified,statistical machine learning,0
Tensor Processing with Homodyne Photonic Integrate...,"Coherent homodyne integrated circuit using wafer-scale fabricated 64 thin-film lithium niobate transmitters coupled to Si/SiN computing circuits, employing time multiplexing to reduce modulator count and enable dense integration of 256×256 homodyne units.",Qwen2.5-0.5 billion parameter models for token generation benchmarking,"TOPS (tera-operations per second), TOPS/W (throughput per watt), computational accuracy (bits), statistical accuracy (bits), baud rate (Gbaud/s), modulator count complexity, unit area (<0.0064 mm²), bandwidth (>40 GHz), propagation loss (0.2 dB/cm)","Achieves 1,000–6,000 TOPS total throughput; up to 7-bit computational accuracy across 8×8 channels at 120 Gbaud/s; 6-bit statistical accuracy across 256×100 channels at 20–128 Gbaud/s; 330 TOPS/W efficiency; 256×256 homodyne units integrated within a single reticle.",Not specified,photonic computing,1
Scaling of Quantum Resources for Simulating a Long...,"Variational Quantum Eigensolver (VQE) with three structure-aware ansatze (NN, NNN, NNNN entangling blocks) inspired by string operators in the Hamiltonian.",One-dimensional long-range extended Ising model.,"energy fidelity, pairwise logarithmic negativity, number of ansatz layers, total number of two-qubit gates","In the non-local regime (alpha <= 1), NNN and NNNN ansatze reduce layer scaling rate by 2.5x and 3.8x relative to NN; two-qubit gate count grows quadratically with system size in non-local regime, linearly in local regime, and phase-dependently in quasi-local regime; alpha governs minimum ansatz layers required, not proximity to critical point.",Not specified,quantum simulation,2
Faster by Design: Interactive Aerodynamics via Neu...,"Graph-based neural operator (Gauge-Invariant Spectral Transformer, GIST) with spectral embeddings encoding mesh connectivity; trained on expert-validated high-fidelity RANS data.","High-fidelity RANS dataset built on a parametric LMP2-class CAD model, spanning six operating conditions (straight-line and cornering regimes), generated and validated by Dallara aerodynamics experts.","state-of-the-art accuracy, discretization invariance, linear scaling with mesh size","GIST achieves state-of-the-art accuracy on both public benchmarks and the proposed race-car dataset, and enables predictive accuracy suitable for early-stage aerodynamic design and interactive design-space exploration in industrial motorsport workflows.",Not specified,AI for scientific simulation,0
Physics-Informed Neural Networks: A Didactic Deriv...,"Manual, explicit derivation of forward and backward passes for a 1-3-3-1 multilayer perceptron applied to a first-order initial value problem; derivation of general recursive sensitivity propagation formulas; validation via hand-calculated vs. PyTorch-computed gradients.",A first-order initial value problem with a known analytical solution.,relative L2 error,"The trained PINN achieves a relative L2 error of 4.290 × 10^{-4} using only the physics-informed loss, without any data from the true solution.",Not specified,scientific machine learning,2
New' examples of skew fields not finitely generate...,"Analysis of division algebras of fractions of suitably conditioned iterated skew polynomial rings, with applications to Weyl algebras and quantum affine spaces.","Division algebras arising from iterated skew polynomial rings, Weyl algebras, and quantum affine spaces over arbitrary fields.",,Many transcendental division algebras are verified to be nonaffine over k; division algebras of fractions of Weyl algebras and quantum affine spaces are affine over their centers exactly when finite dimensional over their centers.,Not specified,Noncommutative algebra,1
Warm-Start Quantum Approximate Optimization Algori...,WSLR-QAOA combining a structured warm-start from low-rank semidefinite relaxation solved via block coordinate descent (BCD) and a linear ramp parameterization for QAOA optimization.,Large-scale MIMO systems with higher-order quadrature amplitude modulation (QAM) and Gray-coded modulation.,symbol error rate (SER),"The framework outperforms classical methods in SER, converges faster than standard QAOA, achieves performance close to optimal ML detector in simulation, and on IBM quantum hardware achieves near-ML performance at low SNR and maintains competitive accuracy at higher SNR despite hardware noise degradation.",Moderate degradation due to hardware noise on actual IBM quantum hardware.,quantum machine learning,1
Multi-Scale Reversible Chaos Game Representation: ...,"MS-RCGR employs rational arithmetic and hierarchical k-mer decomposition to generate scale-invariant features; it bridges traditional machine learning, computer vision on CGR-generated images, and hybrid approaches combining protein language model embeddings with CGR features.",synthetic DNA and protein datasets encompassing seven distinct sequence classes,Not specified,"MS-RCGR features consistently enhance classification performance across all paradigms; the hybrid approach combining pre-trained language model embeddings (ESM2, ProtT5) with MS-RCGR features achieves superior performance compared to either method alone.",Not specified,bioinformatics,4
On the Independence Number of the Prime-Coprime Gr...,Graph-theoretic analysis combined with group-theoretic classification and structural reasoning about orders of elements and their gcd properties,"Finite groups, specifically cyclic, dihedral, dicyclic, and semidihedral groups","independence number, split graph characterization","A general lower bound for the independence number of Θ(G) is established; the independence number is explicitly computed for cyclic, dihedral, dicyclic, and semidihedral groups; all finite groups G for which Θ(G) is a split graph are characterized.",Not specified,algebraic graph theory,3
New bounds for the area of MOTS and generalized ul...,"Theoretical analysis using geometric and gravitational constraints on marginally trapped surfaces and marginally trapped tubes, incorporating Einstein tensor components and Gaussian curvature conditions.","General relativistic spacetimes containing closed marginally trapped surfaces, including those with positive, zero, or negative cosmological constant Λ and varying energy-momentum content.","Area of marginally trapped surfaces, Gaussian curvature, Stability parameter, Cosmological constant Λ",Derives new area bounds for MTS dependent on Einstein tensor components and instability constants; recovers the universal bound 4π/Λ for spatially stable MTS when Λ > 0; identifies 'ultra-massive spacetimes' with no event horizon where the entire external region collapses; extends similar behavior to non-positive Λ under sufficiently strong energy-momentum conditions.,Not specified,mathematical general relativity,3
On the quasi-monomiality of the $α$-and $δ$-invari...,Valuation-theoretic analysis within the framework of birational geometry and K-stability,"Projective klt pairs $(X,Δ)$ with ample line bundle $L$ over arbitrary base fields","α(X,Δ,L), δ(X,Δ,L)","Proves existence of quasi-monomial valuations computing both $α(X,Δ,L)$ and $δ(X,Δ,L)$ for all projective klt pairs and ample $L$, independent of base field countability.",Not specified,Algebraic geometry,3
Learning Invariant Modality Representation for Rob...,"A theoretically grounded disentanglement method using invariance constraint, mutual information constraint, and reconstruction constraint to separate causal invariant and environment-specific spurious representations.",Multiple multimodal benchmarks,Not specified,"CmIR achieves state-of-the-art performance, particularly excelling on out-of-distribution data and noisy data, confirming its robustness and generalizability.",Not specified,multimodal affective computing,4
Progressive Online Video Understanding with Eviden...,"The framework includes the Active Thinking Decision Maker (ATDM), a transparent reasoning controller using observable progress (ρ) and confidence (c) metrics to time responses to the first-sufficient-evidence timestamp, and the Hierarchical Progressive Semantic Integration (HPSI) module, an efficient memory system using learnable multi-level aggregation tokens propagated across clips.",StreamingBench and OVOBench,accuracy,Thinking-QwenVL improves accuracy from 67.63% to 71.60% on StreamingBench; achieves 71.6% on StreamingBench and 46.9% on OVOBench.,Not specified,online video understanding,4
Random-State Generation and Preparation Complexity...,Numerical simulation of random global pulse sequences applied to the Rydberg-Ising Hamiltonian on periodic chains; comparison with Haar-random states within symmetry sectors; quantum optimal control for state preparation using target states sampled from a broad entanglement entropy distribution.,"Rydberg atom arrays modeled as periodic chains under the Rydberg-Ising Hamiltonian, with varying interatomic distances (strong to weak interaction regimes) and fixed evolution times.","level-spacing statistics of reduced density matrices, Porter-Thomas distribution deviation, entanglement entropy, entanglement spectrum statistics, distribution of measurement probabilities, fidelity (and infidelity), entanglement entropy of target states",Infidelities between 10^{-5} and 3×10^{-2} achieved for 9-spin target states; fidelity decreases with increasing entanglement entropy of the target state; strong-interaction regime shows blockade-limited entanglement and non-Porter-Thomas measurement probability distribution; weaker interactions yield Haar-like statistics at long times; intermediate interactions achieve this behavior on experimentally relevant timescales.,"Fidelity decreases with entanglement entropy, indicating intrinsic difficulty in preparing highly entangled states under realistic constraints; results are numerical and limited to 9 spins and specific Hamiltonian parameters.",quantum control and quantum many-body simulation,1
Disorder-induced non-Gaussian states in large ense...,Exact matrix product state simulations; comparison with semiclassical approximations (Ehrenfest and truncated Wigner),"Holstein-Tavis-Cummings model with incoherent photon excitation, modeling polaritonic chemistry under collective electronic strong coupling","ensemble-averaged observables, non-Gaussian effects",The Ehrenfest approximation only well reproduces ensemble-averaged observables for very large system sizes; truncated Wigner approximation fails to capture non-Gaussian effects; non-Gaussian states persist robustly for larger molecule numbers.,Not specified,polaritonic chemistry,4
On the Effect of Quadratic Regularization in Direc...,"Parametric effect analysis of regularization that translates regularization costs from auxiliary variables to system quantities, enabling elimination of auxiliary variables",Not specified,,We demonstrate the effectiveness of our approach and the identified effect of regularization via simulations.,Not specified,control theory,1
Recurrence analysis of quantum many-body dynamics...,Recurrence plots and recurrence quantification analysis applied to time-series data of quantum observables.,Quenches from the paramagnetic ground state in the one-dimensional transverse-field Ising model.,"recurrence plot patterns, recurrence quantifiers",Nearly periodic recurrence plot patterns in the deeply ferromagnetic phase transition to multiscale temporal structures at criticality; recurrence quantifiers recover the critical field strength without prior knowledge of the model.,Not specified,quantum many-body dynamics,1
Classical counterparts of shortcuts to adiabaticit...,Inverse engineering on the Euler-Lagrange equations with Rayleigh dissipation by prescribing endpoint-stationary trajectories; comparison with time-optimal solutions and PID tracking; introduction of a single-shot correction based on one mid-course measurement.,Coupled r-θ manipulator,"residual excitations, residual energy, error amplification due to geometric coupling, smoothness, speed, robustness","Geometric coupling amplifies errors and residual energy; trade-off among smoothness, speed, and robustness is highlighted; single-shot correction reduces effect of early deviations while keeping inputs nearly smooth.",Not specified,classical control theory,1
"Tell me Mr. AI, what do you see in this image?...",Submitted the complete set of ten Rorschach inkblots to 61 ImageNet-pretrained AI models across multiple architectural families; analyzed top-ranked class predictions using psycho-semantic variables inspired by Rorschach tradition; performed statistical comparisons with human reference profiles.,Rorschach inkblots (ten standard images); models pretrained on ImageNet.,"top-ranked classes, affective load, semantic richness, projected agency, variability, inter-model agreement, semantic convergence","All AI models showed highly non-random, systematically convergent, and inter-model-agreeing responses, but were robustly separated from human profiles—humans exhibited substantially higher affective load, semantic richness, projected agency, and variability, whereas AI models converged toward frequent, formally coherent, and perceptually stable interpretations.",Not specified,AI interpretability and bias analysis,0
Expected perimeter of the convex hull of planar Br...,Reduction to maximum horizontal displacement at exit time; reformulation using harmonic measure in a truncated disk,Planar Brownian motion stopped upon exiting the unit disk,"expected perimeter, expected area",An exact expression for the expected perimeter is obtained; nontrivial bounds on the expected area are derived.,Computing the exact expected area is stated to be a much harder problem.,stochastic processes,5
High precision micro-optical elements on fiber fac...,Focused ion beam (FIB) machining,Not specified,"shape accuracy of approximately λ/80 and λ/50 at λ = 780 nm, no measurable additional roughness at spatial scales relevant to visible and near-infrared operation",Micro-concave spherical surfaces achieve shape accuracy ~λ/80 and micro-convex ~λ/50 at 780 nm; optical characterization at 633 nm confirms expected far-field donut beam patterns for micro-spiral and micro-axicon structures; Mach-Zehnder interferometry verifies azimuthal and radial phase profiles; optimized FIB process preserves optical-grade surface quality with no measurable added roughness.,Not specified,quantum photonics,2
Quantum quenches in a spin-1 chain with tunable sy...,Time-evolving block decimation (TEBD),"Anisotropic spin-1 Heisenberg chain with tunable quadrupolar interaction strength $J_q$, initialized in experimentally accessible states","local magnetization, entanglement entropy, spin correlations","The dependence of local magnetization, entanglement entropy, and spin correlations on $J_q$ is characterized; a new conserved quantity is identified at the SU(3) symmetric point, and its role in restricting the number of accessible states is theoretically explained.",Not specified,non-equilibrium quantum dynamics,1
Context-Aware Search and Retrieval Under Token Era...,Information-theoretic analysis; term-frequency-based query representation; TF-IDF-weighted similarity retrieval; characterization of similarity margins via multivariate Gaussian convergence; derivation of explicit error probability approximation and computable upper bounds.,Real-world data (used in separate data-driven evaluation with embedding-based retrieval); abstract does not specify particular dataset names or synthetic setup details.,retrieval error probability,"The vector of similarity margins converges to a multivariate Gaussian distribution, yielding an explicit approximation and computable upper bounds for retrieval error probability; numerical results support the analysis; importance-aware redundancy principles extend to modern embedding-based retrieval pipelines.",Not specified,information retrieval,3
Security Risks of VOA-Induced Luminescence in Chip...,Theoretical modeling and experimental demonstration using a single-photon-sensitive spectral measurement technique,Integrated photonic QKD transmitters containing p-n junction-based VOAs,"emission wavelength (1107 nm), information leakage","Emission wavelength centered at 1107 nm, spectrally separated from C-band quantum signals; even extremely weak emission leads to non-negligible information leakage.",Not specified,quantum cryptography implementation security,5
Knowing When to Quit: A Principled Framework for D...,Formal analysis and reinforcement learning framework with value-function-based abstention rule; derivation of a principled and efficient value function approximation.,Mathematical reasoning and toxicity avoidance tasks,selective accuracy,Empirical results demonstrate improved selective accuracy over existing methods.,Not specified,LLM reliability and efficiency,3
Classical and quantum evolution of inflationary fl...,Comparison of correlation functions computed using quantum versus classical dynamics; analysis of tree-level bispectrum of primordial curvature fluctuation and one-loop power spectrum of tensor modes.,Inflationary cosmology scenario during and after inflation.,"tree-level bispectrum, one-loop power spectrum",The difference between classical and quantum results is exponentially sensitive to the number of e-folds elapsed from the time of agreement; classical evolution from a finite time does not produce poles in the scalar bispectrum.,Not specified,cosmological perturbation theory,1
Crossed product C*-algebras associated with non-mi...,Analysis of crossed product C*-algebras for non-minimal free actions of countably infinite discrete abelian groups on the circle; determination of ideal structure; estimation of nuclear dimension; computation of ordered K-theory and trace pairing for G = ℤ^d,Non-minimal free actions of countably infinite discrete abelian groups on the circle,"nuclear dimension, stable rank, quasidiagonality, number of tracial states, K-theory, ideal structure","Obtained a large class of unital separable nuclear and non-simple C*-algebras that are quasidiagonal, have stable rank one, and admit a unique tracial state; determined their ideal structure; established an improved uniform upper bound for their nuclear dimension; computed ordered K-theory and its trace pairing for G = ℤ^d",Not specified,Operator algebras / C*-algebra classification theory,1
The Rise of Quantum Computing -- Take a BITE for B...,"Conceptual framework development; analysis of quantum computing principles (superposition, entanglement, interference, tunneling) and their applicability to built environment and urban microclimate problems; formulation of the BITE selection heuristic.",Not specified,,Not specified,"Current quantum hardware is still in the Noisy Intermediate-Scale Quantum (NISQ) stage, facing challenges such as noise and hardware limits.",quantum computing applications in sustainable urban systems,1
Large-c BCFT Entanglement Entropy with Deformed Bo...,Analyzing infinitesimal global conformal boundary deformations equivalent to leading-order BCFT perturbations with the boundary displacement operator; mapping to an emergent JT gravity description via transparent boundary conditions and dilaton boundary conditions set by the BCFT deformation; relying on assumptions about BCFT spectrum and OPE coefficients.,"Two-dimensional boundary conformal field theories (BCFTs) with deformed boundaries, at zero and finite temperature","von Neumann entropy, island entropy","The von Neumann entropy in the presence of a deformed boundary is reproduced by the island entropy in the emergent JT gravity setup; the required BCFT conditions are weaker than those for holographic BCFTs, allowing for an exponentially large number of light operators.",Relies on mild assumptions about the spectrum and OPE coefficients of the BCFT; does not apply beyond the large central charge limit or infinitesimal deformations.,AdS/CFT correspondence and holography,2
Six Llamas: Comparative Religious Ethics Through L...,"Fine-tuning six variants of Meta-Llama-3.1-8B (one unmodified control + five LoRA-adapted on Christianity, Islam, Judaism, Hinduism, or Buddhism texts); probing with 17 standardized ethical prompts; multi-temperature sampling across ten temperature settings; computing response consistency, pairwise inter-model agreement, temperature sensitivity coefficients, and run-to-run stability.","Sacred and theological texts of Christianity, Islam, Judaism, Hinduism, and Buddhism; 17 standardized ethical prompts spanning moral dilemmas, game-theoretic scenarios, public policy questions, and moral-psychological self-assessments.","response consistency metrics, pairwise inter-model agreement rates, temperature sensitivity coefficients across four prompt domains, run-to-run stability analyses",LoRA-adapted models produce ethical reasoning patterns systematically differentiated from the base model and consistent with their training traditions; Trolley Problem achieves 100% consistency across all models and temperatures; base model exhibits highest overall response consistency (mean 88.3%).,Not specified,computational ethics,3
